43 43 
1 -------------------------
Modulus:   x^2 + x + 3
Primitive: a
31 6 1
40 22 0
21 28 0
4 36 0
7 25 0
33 41 1
36 34 1
9 0 1
34 8 1
15 30 1
37 13 0
24 14 1
13 20 0
3 2 1
28 10 0
31 15 1
1 40 1
40 29 0
21 37 0
4 35 1
8 38 0
7 22 1
29 37 0
33 34 1
16 38 1
36 41 1
41 34 1
22 12 0
9 9 0
34 3 1
24 21 0
13 13 0
0 14 0
38 31 1
3 11 1
28 1 0
1 33 1
40 4 0
4 42 1
7 15 1
16 29 1
22 7 1
12 41 0
34 26 1
24 28 0
10 19 1
13 6 0
0 5 0
38 22 0
25 3 0
28 24 0
40 11 0
4 17 1
26 34 1
7 4 0
16 20 0
19 1 1
22 30 0
12 32 0
34 21 0
10 26 0
0 28 0
38 9 0
25 4 1
28 23 0
14 38 1
4 24 1
16 11 1
19 6 1
41 21 1
22 17 1
5 39 0
37 33 0
10 5 0
35 23 0
0 19 0
38 0 1
25 13 0
14 41 1
4 7 1
29 9 1
16 2 1
19 15 0
41 30 0
22 40 0
5 32 1
9 37 0
34 39 0
17 37 0
37 42 0
42 39 0
23 11 0
10 12 1
35 28 1
25 22 0
1 13 0
39 24 0
4 14 0
29 2 1
19 20 0
2 36 1
41 7 1
22 35 1
5 41 1
30 35 0
17 30 0
23 0 1
32 8 1
13 42 1
35 5 0
25 31 1
11 28 1
1 6 1
39 17 0
26 6 0
29 27 1
19 29 1
41 8 1
5 18 1
30 42 0
17 23 1
20 4 1
42 41 1
23 25 1
32 15 1
13 35 1
35 10 1
11 21 1
14 2 0
1 31 1
39 14 1
26 1 0
29 20 0
15 33 0
19 34 1
5 27 1
27 34 1
17 8 1
20 3 1
42 16 1
23 22 1
6 42 0
32 6 0
18 41 0
11 10 1
14 5 0
36 18 0
1 16 0
39 7 0
26 8 1
5 4 1
30 20 1
17 1 1
20 10 0
42 27 0
10 32 1
32 29 0
18 32 1
38 39 1
8 22 0
11 3 0
14 12 0
36 25 1
26 19 0
2 8 0
24 37 1
5 13 0
30 31 1
20 17 1
42 2 1
23 36 0
6 36 1
32 20 1
31 36 1
35 33 0
18 27 1
8 29 0
33 11 1
14 23 0
36 0 1
26 26 0
12 25 0
2 3 1
27 9 1
30 6 1
20 24 1
3 32 0
42 13 0
6 31 1
28 40 1
35 38 1
18 18 0
21 7 1
8 4 0
33 12 0
14 30 1
36 15 0
12 16 0
15 5 1
2 26 0
27 14 1
30 9 1
20 39 0
3 41 0
6 22 1
28 39 1
32 34 0
31 42 1
18 13 1
40 34 1
21 0 1
8 11 1
33 5 1
12 15 0
15 2 1
37 17 1
2 21 1
27 7 0
0 35 0
6 9 1
31 19 1
18 4 0
40 41 1
21 9 0
7 42 1
33 30 1
39 32 0
9 21 1
12 6 0
15 11 1
37 26 0
24 1 0
27 28 0
3 23 0
25 38 0
6 0 1
31 24 1
40 16 0
21 18 0
7 35 0
11 36 1
33 23 1
16 41 0
36 36 0
9 30 1
34 14 1
15 16 0
37 3 1
24 8 1
27 21 1
13 26 1
3 28 1
28 12 0
31 1 0
40 23 1
21 27 1
4 37 0
8 32 0
7 24 0
33 40 1
16 32 1
36 35 1
22 10 0
9 7 1
34 9 0
15 25 0
37 12 1
24 15 1
13 19 1
0 8 0
3 5 0
28 11 0
31 14 1
40 30 1
21 36 1
8 39 1
7 17 1
29 36 0
33 33 0
16 39 1
36 42 0
41 33 0
22 13 1
9 8 0
34 0 1
24 22 1
13 12 1
0 15 0
38 28 1
3 10 1
28 2 1
1 32 1
40 5 1
7 14 1
16 30 1
41 42 0
22 4 1
12 42 0
34 27 1
24 29 1
10 16 0
13 5 0
0 6 0
38 23 0
25 2 0
28 25 1
40 12 1
4 18 1
26 35 1
7 7 0
16 21 0
19 0 1
41 19 0
22 31 0
12 33 0
34 18 1
17 42 0
37 39 1
10 27 0
35 17 1
0 29 0
38 14 1
25 11 1
28 16 0
14 39 0
4 25 0
26 42 1
29 15 1
16 12 1
19 9 0
41 20 1
22 22 0
5 38 0
9 35 1
17 35 1
